event_id,schema_version,run_id,source_id,source_root,absolute_path,relative_path,filename,extension,path_type,status,detection_reason,mime_type,bytes,sha256,created_at,modified_at,width,height,image_mode,has_alpha,exif_datetime,pdf_pages,pdf_title,pdf_author,pdf_subject,pdf_text_chars,archive_member_count,duplicate_group,classification_branch,error
evt_000001,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,.,ambers-essential-touch-research,,directory,observed,configured_source_root,,,,,,,,,,,,,,,,,,root_metadata,
evt_000002,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/.gitignore,.gitignore,.gitignore,,file,observed,recursive_discovery,application/octet-stream,16,8f0a6ecace92252b95a008a5992bad632eeb721b15b60397817d0e3a97a4499a,2026-08-14T10:19:50+00:00,2026-08-14T10:19:22+00:00,,,,,,,,,,,,,file_metadata,
evt_000003,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/README.md,README.md,README.md,.md,file,observed,recursive_discovery,text/markdown,2198,dd5f6a02d9da913b8d98582b37dc1cbb46e7e4838a04697584eedc2e76849a35,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,,,,,,,,,,,,,text_source,
evt_000004,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/about.html,about.html,about.html,.html,file,observed,recursive_discovery,text/html,9287,86ee6481fd2e39718adb0ea5a19f59428fe0be9de4b8ac93c59a7739b9002fbf,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,,,,,,,,,,,,,web_source,
evt_000005,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/book.html,book.html,book.html,.html,file,observed,recursive_discovery,text/html,13839,d7619bb889b10fe84104d3702ca05340e448d6ee5f395e9d8c7aaeb1fc2c2bc0,2026-08-14T10:19:26+00:00,2026-08-14T10:19:22+00:00,,,,,,,,,,,,,web_source,
evt_000006,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/contact.html,contact.html,contact.html,.html,file,observed,recursive_discovery,text/html,8843,6392de0ca8b8673d274bdb66578121a106d88cbf9062df10df51db61b70bcb06,2026-08-14T10:19:26+00:00,2026-08-14T10:19:22+00:00,,,,,,,,,,,,,web_source,
evt_000007,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/donate.html,donate.html,donate.html,.html,file,observed,recursive_discovery,text/html,9566,ec13d100d1bd0bb303d71ddf16c322036abe465668535943bce42c8e7439c885,2026-08-14T10:19:26+00:00,2026-08-14T10:19:22+00:00,,,,,,,,,,,,,web_source,
evt_000008,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,index.html,index.html,.html,file,observed,recursive_discovery,text/html,30816,117e75dcd11ba6b8da3e6cd656a96891703292c579df1e8e58f7ff12c2547822,2026-08-14T10:19:26+00:00,2026-08-14T10:19:22+00:00,,,,,,,,,,,,,web_source,
evt_000009,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/reviews.html,reviews.html,reviews.html,.html,file,observed,recursive_discovery,text/html,8340,74205aec6857642010df84f6fe07924e5a22d6b6c57b3951e82d66a0d99a41c3,2026-08-14T10:19:26+00:00,2026-08-14T10:19:22+00:00,,,,,,,,,,,,,web_source,
evt_000010,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/rituals.html,rituals.html,rituals.html,.html,file,observed,recursive_discovery,text/html,10270,b30aa5fcdbe9d8db2cbcbb2b70a784f073022a5a74d117841dc1fc93009ccb01,2026-08-14T10:19:26+00:00,2026-08-14T10:19:22+00:00,,,,,,,,,,,,,web_source,
