archive_member_id,archive_source_id,archive_path,archive_sha256,member_path,uncompressed_bytes,compressed_bytes,crc,sha256,mime_type,repo_canonical_path,status,notes
arc_000001,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.zip,b4a9fb114550a3f9dbf5ac7ba6a2b33ec6b4a703d0c414f411944c2a7ece851e,1.png,1170984,1170984,2555512896,4ac82e06aef9ae69a6e0e4ea68cbfc9528d50b47fe12912bd7f910868793c253,image/png,research/source-assets/4a/4ac82e06aef9ae69a6e0e4ea68cbfc9528d50b47fe12912bd7f910868793c253.png,observed,
arc_000002,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.zip,b4a9fb114550a3f9dbf5ac7ba6a2b33ec6b4a703d0c414f411944c2a7ece851e,2.png,131069,131069,3313794123,16422857bb1daaad2f8afce7d78b8566418f9fe2c5bc851dd2a731db1e57905c,image/png,research/source-assets/16/16422857bb1daaad2f8afce7d78b8566418f9fe2c5bc851dd2a731db1e57905c.png,observed,
arc_000003,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.zip,b4a9fb114550a3f9dbf5ac7ba6a2b33ec6b4a703d0c414f411944c2a7ece851e,3.png,131747,131747,1608524097,8b7157360f0befeefb79afb834e0b63ad9532cd26520df9583d7ba5f7a7b2869,image/png,research/source-assets/8b/8b7157360f0befeefb79afb834e0b63ad9532cd26520df9583d7ba5f7a7b2869.png,observed,
arc_000004,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.zip,b4a9fb114550a3f9dbf5ac7ba6a2b33ec6b4a703d0c414f411944c2a7ece851e,4.png,133365,133365,1575897410,73cbecd24408ed10b1722c5f8bbce1e3cf33db9d0d638f604d98e4f9ab6bb649,image/png,research/source-assets/73/73cbecd24408ed10b1722c5f8bbce1e3cf33db9d0d638f604d98e4f9ab6bb649.png,observed,
arc_000005,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.zip,b4a9fb114550a3f9dbf5ac7ba6a2b33ec6b4a703d0c414f411944c2a7ece851e,5.png,152821,152821,1787082279,51e444409422381d8c3b51708390cafea40483c568bb2544eb9ee0f34c6286d1,image/png,research/source-assets/51/51e444409422381d8c3b51708390cafea40483c568bb2544eb9ee0f34c6286d1.png,observed,
arc_000006,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.zip,b4a9fb114550a3f9dbf5ac7ba6a2b33ec6b4a703d0c414f411944c2a7ece851e,6.png,149846,149846,422979741,7defdd970bf479eb1d8f133c0ade3d95598c6303f9e83f11988c29430205602e,image/png,research/source-assets/7d/7defdd970bf479eb1d8f133c0ade3d95598c6303f9e83f11988c29430205602e.png,observed,
arc_000007,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.zip,b4a9fb114550a3f9dbf5ac7ba6a2b33ec6b4a703d0c414f411944c2a7ece851e,7.png,126825,126825,3461766186,c923330e3bea126bb1ca9e933e0fcb3fcf3ad5cb4e184af71beefbb8c62261a2,image/png,research/source-assets/c9/c923330e3bea126bb1ca9e933e0fcb3fcf3ad5cb4e184af71beefbb8c62261a2.png,observed,
arc_000008,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.zip,b4a9fb114550a3f9dbf5ac7ba6a2b33ec6b4a703d0c414f411944c2a7ece851e,8.png,133870,133870,3382378617,1ff2cb3c286bf607d87c69763104f7f19ce89e79892014fc8c73e4d60f9b519c,image/png,research/source-assets/1f/1ff2cb3c286bf607d87c69763104f7f19ce89e79892014fc8c73e4d60f9b519c.png,observed,
arc_000009,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.zip,b4a9fb114550a3f9dbf5ac7ba6a2b33ec6b4a703d0c414f411944c2a7ece851e,9.png,142192,142192,3328082984,0ee8dfcf39d609b3d85b153e24c232d18ee5f8b44761ea7648678a2f805c6c03,image/png,research/source-assets/0e/0ee8dfcf39d609b3d85b153e24c232d18ee5f8b44761ea7648678a2f805c6c03.png,observed,
arc_000010,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.zip,b4a9fb114550a3f9dbf5ac7ba6a2b33ec6b4a703d0c414f411944c2a7ece851e,10.png,127938,127938,2937242443,7dcf97609cf106e8215aeb33ced86a28e317783110905eda2a2ed3bb457ab871,image/png,research/source-assets/7d/7dcf97609cf106e8215aeb33ced86a28e317783110905eda2a2ed3bb457ab871.png,observed,
