pdf_page_id,source_id,source_path,repo_canonical_path,pdf_sha256,page_number,page_count,page_type,text_chars,text_excerpt,visual_review_batch,visual_review_status,notes
pdf_0001,desktop_amber_source,"/Users/jayjonah/Desktop/amber site/Amber's Essential Touch - 25 Reviews - Wellness in Pinole, CA - Birdeye.pdf",research/source-assets/e6/e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c.pdf,e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c,1,8,mixed,682,"Pinole, CA > Wellness > Spas > Amber's Essential Touch Amber's Essential Touch 4.9 25 reviews Write a review About this business Amber's essential touch where you'll feel the difference. We are a black woman, Minority owned and operated business specializing you in the most professional and timely service possible. Rest assured you will be in good hands. Lo",birdeye_pdf_pages,reviewed,
pdf_0002,desktop_amber_source,"/Users/jayjonah/Desktop/amber site/Amber's Essential Touch - 25 Reviews - Wellness in Pinole, CA - Birdeye.pdf",research/source-assets/e6/e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c.pdf,e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c,2,8,mixed,494," 1622 Michael Dr, Pinole, CA, 94564, United States Get directions Mon Closed Tue Closed Wed 9:30 a.m. to 7:30 p.m. Thu 9:30 a.m. to 7:30 p.m. Fri 9:30 a.m. to 7:30 p.m. Sat 9:30 a.m. to 5:00 p.m. Closed now Sun 11:00 a.m. to 2:00 p.m. 25 reviews Highest rated review on Dec 12, 2025 5 ""Holiday nails, anyone?"" Latest reviews 4.9★ ★ 4/18/26, 7:00 AM Amber's ",birdeye_pdf_pages,reviewed,
pdf_0003,desktop_amber_source,"/Users/jayjonah/Desktop/amber site/Amber's Essential Touch - 25 Reviews - Wellness in Pinole, CA - Birdeye.pdf",research/source-assets/e6/e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c.pdf,e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c,3,8,text_dominant,1136,LaNita Hogue on Google Write a review Frequently asked questions about Amber's Essential Touch How is Amber's Essential Touch rated? Amber's Essential Touch has a 4.9 star rating with 25 reviews. When is Amber's Essential Touch open? Amber's Essential Touch is closed now. It will open at 9:30 a.m. Browse nearby ★★★★★ Lynette P. on Yellow Pages a year ago Am,birdeye_pdf_pages,reviewed,
pdf_0004,desktop_amber_source,"/Users/jayjonah/Desktop/amber site/Amber's Essential Touch - 25 Reviews - Wellness in Pinole, CA - Birdeye.pdf",research/source-assets/e6/e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c.pdf,e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c,4,8,text_dominant,842,"Need help? Contact us. Speak with a specialist to learn how you can grow with Birdeye. We are reachable at profiles@birdeye.com Is this your business? Update business information, get appointment requests, engage visitors with web chat, and more! Claim this profile Business information  Suggest edits  1622 Michael Dr, Pinole, CA, 94564, United States   ",birdeye_pdf_pages,reviewed,
pdf_0005,desktop_amber_source,"/Users/jayjonah/Desktop/amber site/Amber's Essential Touch - 25 Reviews - Wellness in Pinole, CA - Birdeye.pdf",research/source-assets/e6/e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c.pdf,e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c,5,8,mixed,643,Popular Wellness resources  Blog A guide to healthcare online reputation management  Blog 11 Social media tips for health and fitness businesses 2180 Railroad Ave 2.3 miles from this business Effective online reputation management strategy not only fosters trust among existing patients but also establishes you as the top choice for potential ones. 15 min r,birdeye_pdf_pages,reviewed,
pdf_0006,desktop_amber_source,"/Users/jayjonah/Desktop/amber site/Amber's Essential Touch - 25 Reviews - Wellness in Pinole, CA - Birdeye.pdf",research/source-assets/e6/e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c.pdf,e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c,6,8,mixed,624," Blog 7 Customer retention strategies for wellness businesses Popular in Pinole, CA Wellness Day Spas Massage Therapy Hearing Aid Providers Medical Spas Skin Care Spas Assisted Living Facilities Physical Therapy Cannabis Clinics More to explore Beauty in Pinole, CA Day Spas in Pinole, CA Medical Spas in Pinole, CA 15 min read  good online reputation is a s",birdeye_pdf_pages,reviewed,
pdf_0007,desktop_amber_source,"/Users/jayjonah/Desktop/amber site/Amber's Essential Touch - 25 Reviews - Wellness in Pinole, CA - Birdeye.pdf",research/source-assets/e6/e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c.pdf,e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c,7,8,text_dominant,1256,Birdeye for businesses Learn more Attract Listings Reviews Referrals Pages Google Seller Ratings Convert Webchat Social Appointments Mass Texting Payments Delight Messaging Surveys Insights Benchmarking Ticketing Platform BirdAI Analytics Integrations Google Partnership Birdeye Mobile App Solutions Small Business Enterprise Objectives Google for local busine,birdeye_pdf_pages,reviewed,
pdf_0008,desktop_amber_source,"/Users/jayjonah/Desktop/amber site/Amber's Essential Touch - 25 Reviews - Wellness in Pinole, CA - Birdeye.pdf",research/source-assets/e6/e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c.pdf,e6dd03fd0ee81a8a2186a5bbd973fce5b4be916500b015b53597b641c3a61d5c,8,8,mixed,369,"      CONTACT SUPPORT Terms & Conditions Privacy Policy Security GDPR HIPAA CCPA Generative AI Policy © 2026 Birdeye Inc Home Services Legal Property Management Public Storage Real Estate Retail Wellness 4/18/26, 7:00 AM Amber's Essential Touch - 25 Reviews - Wellness in Pinole, CA - Birdeye https://reviews.birdeye.com/ambers-essential-touch-1700358987",birdeye_pdf_pages,reviewed,
pdf_0009,desktop_amber_source,/Users/jayjonah/Desktop/amber site/Ambers resume.pdf,research/source-assets/39/39dbcfe8af205d78edfed9292f728b16aab856e14d1e936098d5514159aaf991.pdf,39dbcfe8af205d78edfed9292f728b16aab856e14d1e936098d5514159aaf991,1,1,text_dominant,1835,"Amber Johnson El Sobrante, Ca | (510) 228-6657 | ambersessentialtouch@gmail.com Professional Summary Licensed Esthetician with 15+ years of experience in client-facing service environments. Provides consultation-based services that require precision, professionalism, discretion. Communicates clearly across diverse client needs in high-volume settings. Mainta",business_pdf_pages,reviewed,
pdf_0010,desktop_amber_source,/Users/jayjonah/Desktop/amber site/Ambers-Essential-Touch-Flyer.pdf,research/source-assets/34/341e95f6de8e94ae9ae7934b39bde1958d8ca7135d363462c468738a253c7eab.pdf,341e95f6de8e94ae9ae7934b39bde1958d8ca7135d363462c468738a253c7eab,1,1,text_dominant,783,"Amber's Essential Touch You'll FEEL the difference. Your Skin Has Memory Gentle, Intentional Skincare for Seniors & Teens Amber's Essential Touch is offering skincare services for seniors and young adults who may not have access to professional skin care. FREE for Seniors & Teens $25 minimum donation from supporters TEEN SERVICES SENIOR SERVICES Teen Facial ",business_pdf_pages,reviewed,
